: converted from the libtre 0.3.1 retest.c regression tests : 2002-03-27 :

E	foobar	foobar	(0,6)
E	SAME	xxxfoobarzapzot	(3,9)
E	aaaa	xxaaaaaaaaaaaaaaaaa	(2,6)
E$	(a*)	NULL	(0,0)(0,0)
E$	(a*)*	NULL	(0,0)(0,0)
E$	((a*)*)*	NULL	(0,0)(0,0)(0,0)
E	(a*bcd)*	aaaaaaaaaaaabcxbcxbcxaabcxaabcx	(0,0)(?,?)
E	SAME	aaaaaaaaaaaabcxbcxbcxaabcxaabc	(0,0)(?,?)
E	SAME	aaaaaaaaaaaabcxbcdbcxaabcxaabc	(0,0)(?,?)
E	SAME	aaaaaaaaaaaabcdbcdbcxaabcxaabc	(0,18)(15,18)
E	(a*)aaaaaa	aaaaaaaaaaaaaaax	(0,15)(0,9)
E	(a*)(a*)	aaaa	(0,4)(0,4)(4,4)
E	(abcd|abc)(d?)	abcd	(0,4)(0,4)(4,4)
E	(abc|abcd)(d?)	abcd	(0,4)(0,4)(4,4)
E	(abc|abcd)(d?)e	abcde	(0,5)(0,4)(4,4)
E	(abcd|abc)(d?)e	abcde	(0,5)(0,4)(4,4)
E	a(bc|bcd)(d?)	abcd	(0,4)(1,4)(4,4)
E	a(bcd|bc)(d?)	abcd	(0,4)(1,4)(4,4)
E	a*(a?bc|bcd)(d?)	aaabcd	(0,6)(3,6)(6,6)
E	a*(bcd|a?bc)(d?)	aaabcd	(0,6)(3,6)(6,6)
E$	(a|(a*b*))*	NULL	(0,0)(0,0)(0,0)
E	SAME	a	(0,1)(0,1)(?,?)
E	SAME	aa	(0,2)(0,2)(0,2)
E	SAME	aaa	(0,3)(0,3)(0,3)
E	SAME	bbb	(0,3)(0,3)(0,3)
E	SAME	aaabbb	(0,6)(0,6)(0,6)
E	SAME	bbbaaa	(0,6)(3,6)(3,6)
E$	((a*b*)|a)*	NULL	(0,0)(0,0)(0,0)
E	SAME	a	(0,1)(0,1)(0,1)
E	SAME	aa	(0,2)(0,2)(0,2)
E	SAME	aaa	(0,3)(0,3)(0,3)
E	SAME	bbb	(0,3)(0,3)(0,3)
E	SAME	aaabbb	(0,6)(0,6)(0,6)
E	SAME	bbbaaa	(0,6)(3,6)(3,6)
E	a.*(.*b.*(.*c.*).*d.*).*e.*(.*f.*).*g	aabbccddeeffgg	(0,14)(3,9)(5,7)(11,13)
E	(wee|week)(night|knights)s*	weeknights	(0,10)(0,4)(4,9)
E	a*	aaaaaaaaaa	(0,10)
