: translated from the Regex++ tests.txt by cvtregex++.c 2001-05-16
# manual edits were done to insert the standard error codes
#
# inserted {...} features tests may have changed line numbers and/or ordering
#
# comments beyond this point are verbatim from the original input
# 
# this file contains a script of tests to run through regress.exe
#
# comments start with a semicolon and proceed to the end of the line
#
# changes to regular expression compile flags start with a "-" as the first
# non-whitespace character and consist of a list of the printable names
# of the flags, for example "match_default"
#
# Other lines contain a test to perform using the current flag status
# the first token contains the expression to compile, the second the string
# to match it against. If the second string is "!" then the expression should
# not compile, that is the first string is an invalid regular expression.
# This is then followed by a list of integers that specify what should match,
# each pair represents the starting and ending positions of a subexpression
# starting with the zeroth subexpression (the whole match).
# A value of -1 indicates that the subexpression should not take part in the
# match at all, if the first value is -1 then no part of the expression should
# match the string.
#

# - match_default normal REG_EXTENDED

#
# try some really simple literals:
E	a	a	(0,1)
E	Z	Z	(0,1)
E	Z	aaa	NOMATCH
E	Z	xxxxZZxxx	(4,5)

# and some simple brackets:
E	(a)	zzzaazz	(3,4)(3,4)
Exz	()	zzz	(0,0)(0,0)
Exz	()	NULL	(0,0)(0,0)
E	(	!	EPAREN
E	)	!	NOMATCH
E	(aa	!	EPAREN
E	aa)	!	NOMATCH
E	a	b	NOMATCH
E	\(\)	()	(0,2)
E	\(a\)	(a)	(0,3)
E	\()	!	NOMATCH
E	(\)	!	EPAREN
E	p(a)rameter	ABCparameterXYZ	(3,12)(4,5)
E	[pq](a)rameter	ABCparameterXYZ	(3,12)(4,5)

# now try escaped brackets:
# - match_default bk_parens REG_BASIC
B	\(a\)	zzzaazz	(3,4)(3,4)
B	\(\)	zzz	(0,0)(0,0)
B	\(\)	NULL	(0,0)(0,0)
B	\(	!	EPAREN
B	\)	!	EPAREN
B	\(aa	!	EPAREN
B	aa\)	!	EPAREN
B	()	()	(0,2)
B	(a)	(a)	(0,3)
B	(\)	!	EPAREN
B	\()	!	EPAREN

# now move on to "." wildcards
# - match_default normal REG_EXTENDED REG_STARTEND
E	.	a	(0,1)
E$	.	\n	(0,1)
E$	.	\r	(0,1)
E	.	NULL	NOMATCH
# - match_default normal match_not_dot_newline REG_EXTENDED REG_STARTEND REG_NEWLINE
En	.	a	(0,1)
En$	.	\n	NOMATCH
En$	.	\r	(0,1)
En	.	NULL	NOMATCH
# - match_default normal match_not_dot_null match_not_dot_newline REG_EXTENDED REG_STARTEND REG_NEWLINE
En$	.	\n	NOMATCH
En$	.	\r	(0,1)
# this *WILL* produce an error from the POSIX API functions:
# - match_default normal match_not_dot_null match_not_dot_newline REG_EXTENDED REG_STARTEND REG_NEWLINE REG_NO_POSIX_TEST
Enz	.	NULL	NOMATCH


#
# now move on to the repetion ops,
# starting with operator *
# - match_default normal REG_EXTENDED
E	a*	b	(0,0)
E	ab*	a	(0,1)
E	ab*	ab	(0,2)
E	ab*	sssabbbbbbsss	(3,10)
E	ab*c*	a	(0,1)
E	ab*c*	abbb	(0,4)
E	ab*c*	accc	(0,4)
E	ab*c*	abbcc	(0,5)
E	*a	!	BADRPT
E$	\n*	\n\n	(0,2)
E	\**	**	(0,2)
E	\*	*	(0,1)

# now try operator +
E	ab+	a	NOMATCH
E	ab+	ab	(0,2)
E	ab+	sssabbbbbbsss	(3,10)
E	ab+c+	a	NOMATCH
E	ab+c+	abbb	NOMATCH
E	ab+c+	accc	NOMATCH
E	ab+c+	abbcc	(0,5)
E	+a	!	BADRPT
E$	\n+	\n\n	(0,2)
E	\+	+	(0,1)
E	\+	++	(0,1)
E	\++	++	(0,2)
# - match_default normal bk_plus_qm REG_EXTENDED REG_NO_POSIX_TEST
Exz	+	+	BADRPT
Exz	\+	!	NOMATCH
