NOTE	augmented shell inline flags : 2008-09-04

K	~(N)/dev/null	/dev/null	(0,9)
K	~(N)/dev/null*	/dev/null	(0,9)
K	~(N)newdisc	newdisc		(0,7)
K	~(N)newdisc*	newdisc		(0,7)
K	~(N)(abc)~(1)	abcabc		(0,6)(0,3)
K	~(N)~((0)a|b)		a		(0,1)
K	SAME			b		NOMATCH
K	SAME			~((0)a|b)	(5,6)
K	~(N)~((1)a|b)		a		NOMATCH
K	SAME			b		(0,1)
K	SAME			~((1)a|b)	(7,8)
K	~(N)@(a)~((1)a|b)		aa		(0,2)(0,1)
K	SAME			ab		NOMATCH
K	SAME			ba		NOMATCH
K	SAME			bb		NOMATCH
K	~(Ni)k*style		Ksh-Style		(0,9)
K	~(NBi)grep-style		Grep-Style		(0,10)
K	~(NBi)grep-style$	Grep-Style		(0,10)
K	~(NBi)^grep-style$	Grep-Style		(0,10)
K	~(NBi)g.*style$		Grep-Style		(0,10)
K	~(NBi)^g.*style$		Grep-Style		(0,10)
K	~(NEi)^e.*style$		Egrep-Style		(0,11)
K	~(Ni)k*style			Ksh-Style		(0,9)
K	~(NBi)grep-style			Grep-Style		(0,10)
K	~(NBi)grep-style$		Grep-Style		(0,10)
K	~(NBi)^grep-style$		Grep-Style		(0,10)
K	~(NBi)g.*style$			Grep-Style		(0,10)
K	~(NBi)^g.*style$			Grep-Style		(0,10)
K	~(NEi)^e.*style$			Egrep-Style		(0,11)
K	~(N)*([[:print:]])+(pacioli1_{10}(\d))*([[:print:]])	Backup ID: pacioli1_1118430008	(0,30)(0,11)(11,30)(20,30)(30,30)
K	~(N)(*)@(blah)*			abcblahxyz				(0,10)(0,3)(3,7)
K	~(N)@(*)@(blah)*			abcblahxyz				(0,10)(0,3)(3,7)
K	~(N)*<a href=*alt="(*)@(blah)">*	abc<a href="pdq" alt="abcblah">xyz	(0,34)(22,25)(25,29)
K	~(N)@(a|b)			(a|b)			(1,2)(1,2)
K	~(N)@(a|b)			c			NOMATCH
K	~(N)(a|b)			(a|b)			(1,2)(1,2)
K	~(N)(a|b)			c			NOMATCH
K	~(N)(a|b)			(a|b)			(1,2)(1,2)
K	~(N)a|b			a			(0,1)
K	~(N)a|b			c			NOMATCH
K	~(N)a|b			a|b			(0,1)
Ko	~(N)@(a|b)			(a|b)			(1,2)(1,2)
Ko	~(N)@(a|b)			c			NOMATCH
Ko	~(N)(a|b)			(a|b)			(0,5)
Ko	~(N)(a|b)			c			NOMATCH
Ko	~(N)(a|b)			(a|b)			(0,5)
Ko	~(N)a|b			a			NOMATCH
Ko	~(N)a|b			c			NOMATCH
Ko	~(N)a|b			a|b			(0,3)
Km	~(N)@(*/bar|*/foo)		/home/dgk/foo//bar/abcabcabc	(0,13)(0,13)
Kmp	~(N)@(*/bar|*/foo)		/home/dgk/foo//bar/abcabcabc	(6,13)(6,13)
K	~(N)*(?)			abc			(0,3)(0,3)
K	~(N)*-(?)			abc			(0,0)(0,0)
K	~(N)@(*(?))			abc			(0,3)(0,3)(0,3)
K	~(N)@-(*(?))		abc			(0,0)(0,0)(0,0)
Km	~(N)*+([0-9])*		abc123abc456abc789	(0,4)(3,4)
K	~(N)*-(?)+-([0-9])*-(?)	abc123abc456abc789	(0,4)(0,3)(3,4)(4,4)
K	~(N)~(-g)*+([0-9])*		abc123abc456abc789	(0,4)(3,4)
